"id,Age,Gender,Education_Level,Marital_Status,Income,Credit_Score,Loan_Amount,Loan_Purpose,Employment_Status,Years_at_Current_Job,Payment_History,Debt_to_Income_Ratio,Assets_Value,Number_of_Dependents,City,State,Country,Previous_Defaults,Marital_Status_Change,Risk_Rating,Created_At,Cleaned_Income,Updated_DTI,Education_Ordinal_Rank,Default_Flag"
"35,57,Female,Bachelor's,Widowed,0.00,673,16398.00,BUSINESS,Self-employed,8,FAIR,0.483784,159119.00,1,""West Michael"",TN,Nauru,1,0,Low,""2026-04-23 19:13:45"",69652.443967,0.2354,2,1"
"36,46,Non-binary,""High School"",Widowed,0.00,637,6382.00,AUTO,Self-employed,2,GOOD,0.54439,156010.00,4,Kevinbury,NM,Guam,2,1,Low,""2026-04-23 19:13:45"",69718.619373,0.0915,1,1"
"37,49,Male,Bachelor's,Divorced,117392.00,685,0.00,BUSINESS,Self-employed,12,GOOD,0.470601,261093.00,3,""North Michael"",HI,Burundi,1,0,Medium,""2026-04-23 19:13:45"",117392.000000,0.0000,2,1"
"38,57,Female,Master's,Single,54754.00,604,11947.00,HOME,Self-employed,13,GOOD,0.287419,282006.00,0,Berryland,VT,Thailand,2,0,High,""2026-04-23 19:13:45"",54754.000000,0.2182,3,1"
"39,41,Non-binary,""High School"",Divorced,109379.00,606,5252.00,HOME,Self-employed,16,POOR,0.454458,159939.17,2,""South Josefurt"",OR,Belize,0,2,Low,""2026-04-23 19:13:45"",109379.000000,0.0480,1,0"
"40,47,Female,""High School"",Single,33065.00,783,6895.00,AUTO,Self-employed,2,FAIR,0.116681,158428.00,3,""West Sharon"",AL,Seychelles,2,0,Low,""2026-04-23 19:13:45"",33065.000000,0.2085,1,1"
"41,64,Male,Master's,Single,0.00,699.211,0.00,PERSONAL,Unemployed,16,EXCELLENT,0.458481,108664.00,0,""Lake Joshuahaven"",MO,""Sao Tome and Principe"",0,1,Low,""2026-04-23 19:13:45"",69934.968970,0.0000,3,0"
"42,35,Female,""High School"",Single,101496.00,715,16971.00,HOME,Employed,17,FAIR,0.533787,271400.00,1,Michaelburgh,TX,Anguilla,0,0,Medium,""2026-04-23 19:13:45"",101496.000000,0.1672,1,0"
"45,21,Male,Bachelor's,Widowed,73952.00,631,49525.00,AUTO,Unemployed,3,EXCELLENT,0.143644,32912.00,0,""West Denisebury"",KY,""French Guiana"",1,2,Low,""2026-04-23 19:13:45"",73952.000000,0.6697,2,1"
"46,67,Non-binary,Master's,Divorced,54247.00,699.211,5011.00,PERSONAL,Unemployed,7,EXCELLENT,0.344652,239162.00,3,Mataside,AZ,Iceland,0,0,Low,""2026-04-23 19:13:45"",54247.000000,0.0924,3,0"
"47,49,Male,Bachelor's,Married,85689.00,699.038,0.00,PERSONAL,Unemployed,2,EXCELLENT,0.336009,232433.00,0,Camposland,WA,Niue,0,0,Medium,""2026-04-23 19:13:45"",85689.000000,0.0000,2,0"
"48,30,Female,Bachelor's,Divorced,59593.00,691,0.00,BUSINESS,Unemployed,8,GOOD,0.424079,279118.00,3,Mckeeborough,RI,Martinique,2,0,Low,""2026-04-23 19:13:45"",59593.000000,0.0000,2,1"
"50,65,Male,PhD,Widowed,77146.00,796,38386.00,BUSINESS,Self-employed,17,FAIR,0.323186,262145.00,0,Johnsonside,LA,Vietnam,4,1,Medium,""2026-04-23 19:13:45"",77146.000000,0.4976,4,1"
"51,68,Female,PhD,Single,59300.00,701.157,34783.00,AUTO,Employed,3,EXCELLENT,0.235761,270400.00,0,""West Patrick"",WY,""Bouvet Island (Bouvetoya)"",0,2,Low,""2026-04-23 19:13:45"",59300.000000,0.5866,4,0"
"52,59,Non-binary,Bachelor's,Married,82233.00,699.038,45345.00,PERSONAL,Self-employed,9,POOR,0.471531,208180.00,1,""South Heather"",DE,Kuwait,4,1,Low,""2026-04-23 19:13:45"",82233.000000,0.5514,2,1"
"53,39,Non-binary,PhD,Single,93509.00,703,16651.00,AUTO,Unemployed,5,FAIR,0.528582,270036.00,0,""North Joshuaborough"",MI,""Falkland Islands (Malvinas)"",0,0,Medium,""2026-04-23 19:13:45"",93509.000000,0.1781,4,0"
"54,64,Non-binary,Bachelor's,Married,0.00,763,0.00,BUSINESS,Employed,6,FAIR,0.302039,272412.00,2,Williamston,WV,""British Indian Ocean Territory (Chagos Archipelago)"",1,0,Low,""2026-04-23 19:13:45"",69652.443967,0.0000,2,1"
"55,69,Non-binary,""High School"",Divorced,0.00,721,39416.00,PERSONAL,Unemployed,4,EXCELLENT,0.418046,80601.00,0,Herrerafurt,RI,""Holy See (Vatican City State)"",2,1,Medium,""2026-04-23 19:13:45"",69718.619373,0.5654,1,1"
"56,29,Male,Bachelor's,Divorced,85164.00,710,14441.00,PERSONAL,Unemployed,2,POOR,0.257829,64687.00,1,""South Austinhaven"",HI,Niue,0,0,Medium,""2026-04-23 19:13:45"",85164.000000,0.1696,2,0"
"57,47,Male,""High School"",Widowed,119747.00,613,26507.00,BUSINESS,Self-employed,10,GOOD,0.464925,221402.00,0,Rickymouth,CO,""Sao Tome and Principe"",1,0,Medium,""2026-04-23 19:13:45"",119747.000000,0.2214,1,1"
"59,54,Non-binary,PhD,Married,100908.00,764,0.00,BUSINESS,Employed,18,FAIR,0.240809,250753.00,3,""East Adam"",MH,Georgia,0,0,Medium,""2026-04-23 19:13:45"",100908.000000,0.0000,4,0"
"60,67,Male,PhD,Widowed,0.00,608,12657.00,BUSINESS,Unemployed,18,GOOD,0.46576,107089.00,1,""East Anthony"",ND,Guam,0,0,Medium,""2026-04-23 19:13:45"",70442.604895,0.1797,4,0"
"61,36,Male,Bachelor's,Divorced,29868.00,635,12521.00,AUTO,Employed,17,EXCELLENT,0.350454,240325.00,2,Wendyshire,ND,Dominica,4,0,Low,""2026-04-23 19:13:45"",29868.000000,0.4192,2,1"
"62,36,Female,Master's,Married,68776.00,612,47707.00,PERSONAL,Unemployed,11,FAIR,0.332397,68491.00,0,""Port Christopher"",NY,""Brunei Darussalam"",1,1,Low,""2026-04-23 19:13:45"",68776.000000,0.6937,3,1"
"63,54,Female,Bachelor's,Married,98669.00,720,19464.00,BUSINESS,Unemployed,2,POOR,0.167904,26571.00,0,Smithview,IA,""French Polynesia"",1,0,High,""2026-04-23 19:13:45"",98669.000000,0.1973,2,1"
"65,39,Non-binary,PhD,Widowed,118717.00,647,10656.00,HOME,Self-employed,12,POOR,0.185635,168504.00,1,Dennismouth,WY,Serbia,0,2,Low,""2026-04-23 19:13:45"",118717.000000,0.0898,4,0"
"66,48,Male,Bachelor's,Single,0.00,649,38575.00,HOME,Self-employed,3,FAIR,0.430091,143440.00,3,Kimstad,CT,Taiwan,0,0,Medium,""2026-04-23 19:13:45"",69652.443967,0.5538,2,0"
"67,64,Male,Bachelor's,Single,52822.00,636,37391.00,BUSINESS,Employed,12,EXCELLENT,0.498699,159939.17,0,Johnsonbury,WV,Pakistan,1,1,Medium,""2026-04-23 19:13:45"",52822.000000,0.7079,2,1"
"68,44,Non-binary,PhD,Widowed,51280.00,750,22162.00,HOME,Employed,11,EXCELLENT,0.55013,87579.00,3,""East Danielmouth"",AS,Haiti,1,2,Medium,""2026-04-23 19:13:45"",51280.000000,0.4322,4,1"
"69,55,Female,Bachelor's,Divorced,63915.00,699.038,10084.00,PERSONAL,Employed,7,GOOD,0.362397,159939.17,2,Wilsonton,MH,""San Marino"",1,0,High,""2026-04-23 19:13:45"",63915.000000,0.1578,2,1"
"70,34,Female,Master's,Widowed,67046.00,699.211,11753.00,PERSONAL,Unemployed,12,FAIR,0.3195,90851.00,0,Hinesberg,DE,Kazakhstan,0,2,Low,""2026-04-23 19:13:45"",67046.000000,0.1753,3,0"
"71,65,Male,Master's,Divorced,106526.00,650,23161.00,AUTO,Employed,19,POOR,0.544867,98025.00,4,Richardbury,ID,Armenia,0,0,Low,""2026-04-23 19:13:45"",106526.000000,0.2174,3,0"
"72,68,Non-binary,Master's,Married,0.00,700,23834.00,AUTO,Employed,1,EXCELLENT,0.168124,147082.00,4,Johnsonview,IL,Netherlands,2,0,Low,""2026-04-23 19:13:45"",69934.968970,0.3408,3,1"
"73,47,Female,Bachelor's,Divorced,91691.00,699.038,42140.00,AUTO,Unemployed,7,FAIR,0.568474,235362.00,0,Andrewside,TX,Greece,1,0,Medium,""2026-04-23 19:13:45"",91691.000000,0.4596,2,1"
"75,36,Non-binary,Bachelor's,Widowed,37105.00,720,33259.00,HOME,Employed,7,FAIR,0.412777,294048.00,2,Yvonneland,NY,""Brunei Darussalam"",3,1,Medium,""2026-04-23 19:13:45"",37105.000000,0.8963,2,1"
"76,62,Female,Bachelor's,Single,31063.00,793,0.00,PERSONAL,Self-employed,7,GOOD,0.143936,226298.00,1,""South Darrell"",VI,Latvia,0,1,Low,""2026-04-23 19:13:45"",31063.000000,0.0000,2,0"
"77,35,Female,""High School"",Married,0.00,697.601,9833.00,PERSONAL,Self-employed,17,FAIR,0.155495,131120.00,2,Cynthiashire,CO,Mexico,0,0,High,""2026-04-23 19:13:45"",69718.619373,0.1410,1,0"
"78,66,Female,Bachelor's,Single,0.00,699.038,23993.00,PERSONAL,Self-employed,19,POOR,0.150793,60925.00,2,Thomasmouth,MP,""French Southern Territories"",0,2,Low,""2026-04-23 19:13:45"",69652.443967,0.3445,2,0"
"79,50,Non-binary,Master's,Single,56108.00,796,0.00,PERSONAL,Self-employed,4,EXCELLENT,0.111495,97144.00,2,Michelleland,CO,Kazakhstan,3,1,High,""2026-04-23 19:13:45"",56108.000000,0.0000,3,1"
"81,38,Non-binary,Master's,Divorced,82093.00,726,20454.00,HOME,Self-employed,5,GOOD,0.190222,39434.00,2,""East Brian"",PW,""South Africa"",0,0,High,""2026-04-23 19:13:45"",82093.000000,0.2492,3,0"
"82,39,Female,Master's,Widowed,100015.00,615,23114.00,BUSINESS,Unemployed,14,POOR,0.484642,85309.00,0,""New Meganshire"",NV,""French Polynesia"",3,0,Low,""2026-04-23 19:13:45"",100015.000000,0.2311,3,1"
"83,50,Female,Master's,Divorced,96293.00,708,21552.00,AUTO,Employed,3,EXCELLENT,0.129394,255942.00,4,""Port Amy"",FM,Egypt,0,1,Low,""2026-04-23 19:13:45"",96293.000000,0.2238,3,0"
"84,49,Non-binary,Bachelor's,Single,30680.00,699.038,24840.00,AUTO,Self-employed,5,EXCELLENT,0.243024,101996.00,0,""Port Rebecca"",CA,""Svalbard & Jan Mayen Islands"",3,1,Low,""2026-04-23 19:13:45"",30680.000000,0.8096,2,1"
"87,38,Non-binary,Bachelor's,Single,48069.00,670,17841.00,HOME,Unemployed,17,EXCELLENT,0.157519,241550.00,2,Jacksonmouth,WA,Jordan,0,2,Low,""2026-04-23 19:13:45"",48069.000000,0.3712,2,0"
"89,35,Female,PhD,Married,72433.00,792,5747.00,BUSINESS,Self-employed,4,GOOD,0.327374,112076.00,0,Andreaborough,NC,Thailand,3,2,Low,""2026-04-23 19:13:45"",72433.000000,0.0793,4,1"
"90,50,Non-binary,PhD,Divorced,0.00,640,47751.00,AUTO,Self-employed,10,FAIR,0.343555,159939.17,3,Cynthiabury,DC,Zimbabwe,4,0,Medium,""2026-04-23 19:13:45"",70442.604895,0.6779,4,1"
"91,56,Female,Master's,Single,0.00,734,40516.00,AUTO,Self-employed,9,POOR,0.378207,203231.00,1,""New Zachary"",IN,Swaziland,3,1,Low,""2026-04-23 19:13:45"",69934.968970,0.5793,3,1"
"93,40,Male,Master's,Widowed,98578.00,663,8747.00,AUTO,Self-employed,1,GOOD,0.514671,37396.00,0,Jacobview,WV,""Russian Federation"",0,1,Low,""2026-04-23 19:13:45"",98578.000000,0.0887,3,0"
"94,39,Male,""High School"",Married,90227.00,770,18079.00,BUSINESS,Employed,3,POOR,0.518759,163838.00,1,""South Brianna"",GU,Mali,0,1,Low,""2026-04-23 19:13:45"",90227.000000,0.2004,1,0"
"95,31,Non-binary,""High School"",Divorced,107081.00,740,18101.00,BUSINESS,Employed,5,POOR,0.108794,25157.00,2,Gordonbury,AL,Ukraine,1,2,Low,""2026-04-23 19:13:45"",107081.000000,0.1690,1,1"
"96,45,Female,""High School"",Widowed,82878.00,748,17023.00,AUTO,Self-employed,19,POOR,0.584911,192705.00,4,Penamouth,NH,Ethiopia,4,1,Low,""2026-04-23 19:13:45"",82878.000000,0.2054,1,1"
"97,62,Non-binary,Bachelor's,Widowed,46439.00,645,0.00,AUTO,Employed,6,POOR,0.443604,277288.00,0,""East Kevinmouth"",VI,Togo,0,2,Low,""2026-04-23 19:13:45"",46439.000000,0.0000,2,0"
"98,34,Non-binary,""High School"",Widowed,44085.00,687,0.00,HOME,Unemployed,9,POOR,0.448938,253262.00,2,""Lake Ashleyland"",AR,Belize,0,1,Low,""2026-04-23 19:13:45"",44085.000000,0.0000,1,0"
"99,19,Male,""High School"",Married,35817.00,731,44426.00,HOME,Unemployed,1,FAIR,0.50546,20626.00,1,""East Triciatown"",WI,Angola,0,2,Low,""2026-04-23 19:13:45"",35817.000000,1.2404,1,0"
"100,49,Non-binary,Bachelor's,Married,54648.00,699.038,20427.00,PERSONAL,Unemployed,8,FAIR,0.121473,276619.00,1,""West Mirandaborough"",MA,Anguilla,4,0,Medium,""2026-04-23 19:13:45"",54648.000000,0.3738,2,1"
"101,36,Female,""High School"",Married,65104.00,699,44260.00,HOME,Employed,2,EXCELLENT,0.337762,135458.00,4,Zacharyhaven,NM,Guatemala,2,2,Low,""2026-04-23 19:13:45"",65104.000000,0.6798,1,1"
"102,43,Male,PhD,Married,109698.00,793,46500.00,PERSONAL,Self-employed,11,GOOD,0.347851,159076.00,0,Tristanland,AZ,""United States Minor Outlying Islands"",1,1,Medium,""2026-04-23 19:13:45"",109698.000000,0.4239,4,1"
"103,23,Male,Bachelor's,Single,28906.00,724,24532.00,BUSINESS,Unemployed,3,POOR,0.500614,96640.00,2,""Lake Evelynstad"",CA,Monaco,0,0,Low,""2026-04-23 19:13:45"",28906.000000,0.8487,2,0"
"105,41,Female,Master's,Widowed,79556.00,742,5235.00,HOME,Employed,5,EXCELLENT,0.322356,247857.00,0,Onealfurt,WA,Romania,4,0,Low,""2026-04-23 19:13:45"",79556.000000,0.0658,3,1"
"106,57,Male,Master's,Single,116102.00,629,31831.00,HOME,Employed,16,EXCELLENT,0.516362,228018.00,4,Smithborough,IA,""Palestinian Territory"",2,0,Medium,""2026-04-23 19:13:45"",116102.000000,0.2742,3,1"
"107,31,Female,PhD,Widowed,105141.00,701.157,41006.00,AUTO,Self-employed,3,GOOD,0.162774,26499.00,3,Traceyton,SD,Suriname,1,2,Low,""2026-04-23 19:13:45"",105141.000000,0.3900,4,1"
"108,58,Non-binary,""High School"",Widowed,20947.00,776,38756.00,PERSONAL,Unemployed,0,GOOD,0.218403,91848.00,4,""North Jeff"",MT,Burundi,0,1,Low,""2026-04-23 19:13:45"",20947.000000,1.8502,1,0"
"109,36,Non-binary,PhD,Single,0.00,660,11157.00,HOME,Self-employed,7,EXCELLENT,0.297578,159939.17,2,Diazton,WV,Guatemala,2,0,Medium,""2026-04-23 19:13:45"",70442.604895,0.1584,4,1"
"110,52,Male,""High School"",Married,32094.00,634,17612.00,HOME,Self-employed,17,GOOD,0.549457,114375.00,2,""West Robert"",IA,Singapore,2,0,Medium,""2026-04-23 19:13:45"",32094.000000,0.5488,1,1"
"112,55,Non-binary,Master's,Widowed,108177.00,735,23616.00,BUSINESS,Employed,12,FAIR,0.335284,165613.00,2,Barneston,CA,""Saint Pierre and Miquelon"",1,2,Medium,""2026-04-23 19:13:45"",108177.000000,0.2183,3,1"
"113,44,Female,""High School"",Divorced,30295.00,686,0.00,HOME,Unemployed,19,GOOD,0.252783,159939.17,0,""East Ian"",PW,""Costa Rica"",0,2,Low,""2026-04-23 19:13:45"",30295.000000,0.0000,1,0"
"114,41,Female,PhD,Widowed,96591.00,722,7260.00,HOME,Employed,12,FAIR,0.584495,102681.00,0,""New Shelby"",KS,Lesotho,2,2,Medium,""2026-04-23 19:13:45"",96591.000000,0.0752,4,1"
"115,33,Male,PhD,Single,0.00,624,47874.00,PERSONAL,Employed,13,EXCELLENT,0.455208,28057.00,1,""North Jodyside"",NM,Brazil,0,1,Low,""2026-04-23 19:13:45"",70442.604895,0.6796,4,0"
"116,40,Male,Master's,Married,83865.00,663,15896.00,AUTO,Unemployed,6,EXCELLENT,0.358705,159939.17,3,""West Jeffrey"",MT,India,0,2,Low,""2026-04-23 19:13:45"",83865.000000,0.1895,3,0"
"117,53,Female,""High School"",Married,51236.00,718,31196.00,PERSONAL,Self-employed,3,POOR,0.168631,45029.00,1,Ellenbury,AS,Uruguay,0,1,Low,""2026-04-23 19:13:45"",51236.000000,0.6089,1,0"
"119,37,Non-binary,""High School"",Divorced,42970.00,703,0.00,PERSONAL,Employed,12,POOR,0.358687,159939.17,0,""East Jesse"",PW,Finland,1,2,Medium,""2026-04-23 19:13:45"",42970.000000,0.0000,1,1"
"120,36,Non-binary,PhD,Divorced,101863.00,688,31132.00,BUSINESS,Employed,2,POOR,0.219403,149141.00,3,Dunnhaven,MN,""Saint Pierre and Miquelon"",0,2,Low,""2026-04-23 19:13:45"",101863.000000,0.3056,4,0"
"121,67,Male,Master's,Widowed,107366.00,655,20154.00,HOME,Employed,9,POOR,0.416618,108345.00,4,""New Valerie"",GA,Monaco,4,1,Low,""2026-04-23 19:13:45"",107366.000000,0.1877,3,1"
"122,62,Female,PhD,Widowed,101848.00,699,45635.00,HOME,Self-employed,7,POOR,0.591653,159939.17,0,Payneville,NH,Kuwait,0,2,High,""2026-04-23 19:13:45"",101848.000000,0.4481,4,0"
"123,60,Female,PhD,Married,74030.00,711,9459.00,PERSONAL,Unemployed,19,FAIR,0.160677,96641.00,2,""Lake Daniel"",PW,Argentina,0,2,Low,""2026-04-23 19:13:45"",74030.000000,0.1278,4,0"
"124,39,Male,Master's,Divorced,56116.00,636,16578.00,PERSONAL,Employed,12,EXCELLENT,0.313108,197835.00,1,Johnnyberg,NY,""South Africa"",1,0,Medium,""2026-04-23 19:13:45"",56116.000000,0.2954,3,1"
"125,59,Male,PhD,Single,103794.00,701.157,9288.00,AUTO,Unemployed,2,EXCELLENT,0.412109,195205.00,0,Williamsport,WV,Paraguay,2,1,Low,""2026-04-23 19:13:45"",103794.000000,0.0895,4,1"
"126,50,Male,Bachelor's,Married,79300.00,697,26963.00,HOME,Employed,1,GOOD,0.216722,159939.17,0,""New Derekmouth"",MH,Mozambique,0,1,Low,""2026-04-23 19:13:45"",79300.000000,0.3400,2,0"
"127,64,Male,PhD,Single,101855.00,686,48584.00,AUTO,Self-employed,9,GOOD,0.572524,138039.00,3,""East Keith"",MS,""El Salvador"",3,1,Low,""2026-04-23 19:13:45"",101855.000000,0.4770,4,1"
"128,40,Male,PhD,Single,89535.00,624,12990.00,AUTO,Unemployed,6,GOOD,0.117355,48187.00,0,""South Haileyview"",NC,Suriname,3,2,Low,""2026-04-23 19:13:45"",89535.000000,0.1451,4,1"
"130,42,Non-binary,Master's,Widowed,61048.00,699.211,17631.00,BUSINESS,Employed,19,EXCELLENT,0.266384,252248.00,1,Strongport,OH,""Russian Federation"",3,0,Low,""2026-04-23 19:13:45"",61048.000000,0.2888,3,1"
"131,39,Non-binary,""High School"",Widowed,99622.00,720,23158.00,AUTO,Employed,6,GOOD,0.419814,65046.00,4,""New Ashley"",MN,""El Salvador"",2,1,Low,""2026-04-23 19:13:45"",99622.000000,0.2325,1,1"
"132,67,Male,PhD,Divorced,110896.00,689,11503.00,BUSINESS,Self-employed,9,EXCELLENT,0.106252,121360.00,0,""New Russellfurt"",HI,Jersey,2,0,Medium,""2026-04-23 19:13:45"",110896.000000,0.1037,4,1"
"133,28,Female,PhD,Single,64541.00,703,20017.00,AUTO,Self-employed,1,GOOD,0.206312,24856.00,4,""Lake Keithtown"",MO,Suriname,1,1,High,""2026-04-23 19:13:45"",64541.000000,0.3101,4,1"
"134,53,Non-binary,PhD,Single,26613.00,771,6982.00,AUTO,Employed,5,FAIR,0.107198,56108.00,2,Gouldbury,CO,Maldives,0,0,Low,""2026-04-23 19:13:45"",26613.000000,0.2624,4,0"
"135,40,Male,Bachelor's,Divorced,0.00,721,41599.00,AUTO,Unemployed,19,FAIR,0.363904,234986.00,0,""South Amanda"",HI,Iran,1,1,Low,""2026-04-23 19:13:45"",69652.443967,0.5972,2,1"
"136,31,Female,PhD,Widowed,50885.00,669,18293.00,HOME,Unemployed,7,POOR,0.25857,99103.00,4,Margaretchester,KY,Mayotte,3,2,Low,""2026-04-23 19:13:45"",50885.000000,0.3595,4,1"
"137,48,Male,Master's,Divorced,107050.00,711,14382.00,BUSINESS,Self-employed,3,EXCELLENT,0.502108,142063.00,1,""New Janet"",CT,Samoa,1,1,Medium,""2026-04-23 19:13:45"",107050.000000,0.1343,3,1"
"140,22,Male,PhD,Single,0.00,632,0.00,PERSONAL,Unemployed,1,EXCELLENT,0.126001,83144.00,4,""Port Tylermouth"",HI,Sweden,3,1,Medium,""2026-04-23 19:13:45"",70442.604895,0.0000,4,1"
